b'Nigeria Federal House of Representatives holds public hearing on Nigerian Law School (Hijab Controversy).\nScheduled\xe2\x80\xa6 https://t.co/JSeZFBaTu4',negative,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)"
"b""RT @muhaammaddaud: Hijab is a fundamental right of a Muslim Female. It's compulsory #JusticeforFirdaus""",positive,"Sentiment(polarity=0.14285714285714285, subjectivity=0.35119047619047616)"
"b'RT @Justice4firdaos: In all of our lives, I believe we have found this to be true. Changes will always happen, both planned and unexpected.\xe2\x80\xa6'",positive,"Sentiment(polarity=0.35, subjectivity=0.65)"
b'RT @Justice4firdaos: The ones who see things differently. They\xe2\x80\x99re not fond of rules. And they have no respect for the status quo. You can q\xe2\x80\xa6',negative,"Sentiment(polarity=0.0, subjectivity=0.6)"
"b'RT @Justice4firdaos: Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing t\xe2\x80\xa6'",positive,"Sentiment(polarity=0.05000000000000001, subjectivity=0.6333333333333333)"
"b'RT @Justice4firdaos: If people refuse to look at you in a new light and they can only see you for what you were, only see you for the mista\xe2\x80\xa6'",positive,"Sentiment(polarity=0.1340909090909091, subjectivity=0.7886363636363636)"
b'RT @Justice4firdaos: Life is a series of natural and spontaneous changes. Don\xe2\x80\x99t resist them; that only creates sorrow. Let reality be reali\xe2\x80\xa6',positive,"Sentiment(polarity=0.2333333333333333, subjectivity=0.7666666666666666)"
"b'RT @Justice4firdaos: The Right to Freedom of  thought, conscience and religion is a right protected both locally and internationally. Why s\xe2\x80\xa6'",positive,"Sentiment(polarity=0.14285714285714285, subjectivity=0.26785714285714285)"
"b'RT @Justice4firdaos: They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who\xe2\x80\xa6'",negative,"Sentiment(polarity=-0.3, subjectivity=0.5)"
"b""RT @Justice4firdaos: It may seem rough. In fact, it may even be tough but we'll get there. It is a matter of time. The Almighty doesn't aba\xe2\x80\xa6""",negative,"Sentiment(polarity=-0.24444444444444446, subjectivity=0.6166666666666667)"
b'RT @Justice4firdaos: Difference is of the essence of humanity. Difference is an accident of birth and it should therefore never be the sour\xe2\x80\xa6',negative,"Sentiment(polarity=0.0, subjectivity=0.0)"
b'RT @Justice4firdaos: It always seems impossible until it is achieved. \n#justiceforfirdaus',negative,"Sentiment(polarity=-0.6666666666666666, subjectivity=1.0)"
"b'RT @Justice4firdaos: If it is in His design that we will get there, we will get there. No stumbling block will block our ways. No matter wh\xe2\x80\xa6'",negative,"Sentiment(polarity=0.0, subjectivity=0.0)"
"b'RT @Justice4firdaos: Dear parents,\nIt is time for parents to teach young people early on that in diversity there is beauty and there is str\xe2\x80\xa6'",positive,"Sentiment(polarity=0.1, subjectivity=0.35)"
b'RT @Justice4firdaos: You are answerable to the Almighty for all your actions. Don\xe2\x80\x99t give time to accommodate other people\xe2\x80\x99s demands and tho\xe2\x80\xa6',negative,"Sentiment(polarity=-0.125, subjectivity=0.375)"
